Tissue	Comparison	Expression	Nvir_gene_id	Uniprot_entry	Protein_names	logFC	logCPM	LR	Pvalue	FDR	GO_ID	GO_category	GO_term	Search_term_match
skin	both_ctl	up	comp357103	T4S1_HUMAN	Transmembrane 4 L6 family member 1 (Membrane component chromosome 3 surface marker 1) (Tumor-associated antigen L6)	2.335656214	8.22E+00	18.54586781	1.66E-05	0.001265629	"GO:0016021, GO:0005886, GO:0005887"	"CC, CC, CC"	"integral component of membrane, plasma membrane, integral component of plasma membrane "	antigen
skin	both_ctl	up	comp365254	ASC_MOUSE	Apoptosis-associated speck-like protein containing a CARD (mASC) (PYD and CARD domain-containing protein)	2.09164802	5.88E+00	18.08641318	2.11E-05	0.001490006	"GO:0042742, GO:0071347, GO:0042102, GO:0072606, GO:0006955, GO:0050728, GO:0090200, GO:0072604, GO:0032496, GO:1900015, GO:0006954, GO:0032652, GO:0071356, GO:2001238, GO:0050900, GO:2001179, GO:0045087, GO:1900016, GO:0032729, GO:0050727, GO:0071222, GO:0048518, GO:0034612, GO:0050718, GO:0032269, GO:0002504, GO:0002495, GO:0032611, GO:0002577, GO:0002579, GO:0002685, GO:2000406, GO:0006919, GO:0005576, GO:0042803, GO:0070851"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF, MF"	"defense response to bacterium, cellular response to interleukin-1, positive regulation of t_cell proliferation, interleukin-8 secretion, immune response, negative regulation of inflammatory response, positive regulation of release of cytochrome c from mitochondria, interleukin-6 secretion, response to lipopolysaccharide, regulation of cytokine production involved in inflammatory response, inflammatory response, regulation of interleukin-1 production, cellular response to tumor_necrosis factor, positive regulation of extrinsic apoptotic signaling pathway, leukocyte migration, regulation of interleukin-10 secretion, innate immune response, negative regulation of cytokine production involved in inflammatory response, positive regulation of interferon-gamma production, regulation of inflammatory response, cellular response to lipopolysaccharide, positive regulation of biological process, response to tumor_necrosis factor, positive regulation of interleukin-1 beta secretion, negative regulation of cellular protein metabolic process, antigen processing and presentation of peptide or polysaccharide antigen via MHC class II, antigen processing and presentation of peptide antigen via MHC class II, interleukin-1 beta production, regulation of antigen processing and presentation, positive regulation of antigen processing and presentation, regulation of leukocyte migration, positive regulation of t_cell migration, activation of cysteine-type endopeptidase activity involved in apoptotic process, extracellular region, protein homodimerization activity, growth factor receptor binding "	antigen
skin	both_ctl	up	comp362808	ERMAP_HUMAN	Erythroid membrane-associated protein (hERMAP) (Radin blood group antigen) (Scianna blood group antigen)	3.098799257	5.83E+00	17.76815108	2.50E-05	0.001671651	"GO:0006955, GO:0050852, GO:0048518, GO:0016021, GO:0009897, GO:0009986, GO:0005886"	"BP, BP, BP, CC, CC, CC, CC"	"immune response, t_cell receptor signaling pathway, positive regulation of biological process, integral component of membrane, external side of plasma membrane, cell surface, plasma membrane "	antigen
skin	both_ctl	up	comp362848	PTPRC_HUMAN	Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45)	2.291047732	3.33E+00	17.22987662	3.31E-05	0.002053443	"GO:0016064, GO:0045059, GO:0042102, GO:0006955, GO:0050728, GO:0002922, GO:0006954, GO:2001238, GO:0050852, GO:0045060, GO:0002455, GO:0044770, GO:0035584, GO:0001916, GO:0050727, GO:0032703, GO:0048518, GO:0045582, GO:0002381, GO:0002820, GO:0042036, GO:0031953, GO:0055085, GO:0032269, GO:0072511, GO:0046635, GO:0005576, GO:0016021, GO:0005615, GO:0031410, GO:0012506, GO:0032059, GO:0009897, GO:0009986, GO:0005886, GO:0005887, GO:0045121, GO:0042803"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, MF"	"immunoglobulin mediated immune response, positive thymic t_cell selection, positive regulation of t_cell proliferation, immune response, negative regulation of inflammatory response, positive regulation of humoral immune response, inflammatory response, positive regulation of extrinsic apoptotic signaling pathway, t_cell receptor signaling pathway, negative thymic t_cell selection, humoral immune response mediated by circulating immunoglobulin, cell cycle phase transition, calcium-mediated signaling using intracellular calcium source, positive regulation of t_cell mediated cytotoxicity, regulation of inflammatory response, negative regulation of interleukin-2 production, positive regulation of biological process, positive regulation of t_cell differentiation, immunoglobulin production involved in immunoglobulin mediated immune response, negative regulation of adaptive immune response, negative regulation of cytokine biosynthetic process, negative regulation of protein autophosphorylation, transmembrane transport, negative regulation of cellular protein metabolic process, divalent inorganic cation transport, positive regulation of alpha-beta t_cell activation, extracellular region, integral component of membrane, extracellular space, cytoplasmic vesicle, vesicle membrane, bleb, external side of plasma membrane, cell surface, plasma membrane, integral component of plasma membrane, membrane raft, protein homodimerization activity "	antigen
skin	both_ctl	up	comp354790	TPSNR_HUMAN	Tapasin-related protein (TAPASIN-R) (TAP-binding protein-like) (TAP-binding protein-related protein) (TAPBP-R) (Tapasin-like)	2.24686572	3.07E+00	16.75289894	4.26E-05	0.002460387	"GO:0002474, GO:0002577, GO:0016021, GO:0005886"	"BP, BP, CC, CC"	"antigen processing and presentation of peptide antigen via MHC class I, regulation of antigen processing and presentation, integral component of membrane, plasma membrane "	antigen
skin	both_ctl	up	comp358999	LAD1_MOUSE	Ladinin-1 (Lad-1) (Linear IgA disease antigen homolog) (LADA)	1.785145654	4.25E+00	16.10399748	6.00E-05	0.003119555	"GO:0005576, GO:0031012, GO:0005198"	"CC, CC, MF"	"extracellular region, extracellular matrix, structural molecule activity "	antigen
skin	both_ctl	up	comp346053	STEA1_PIG	Metalloreductase STEAP1 (EC 1.16.1.-) (Six transmembrane endothelial antigen of PAEC) (Six-transmembrane epithelial antigen of prostate 1)	2.829276635	2.568933151	13.98218782	0.000184551	0.007068714	"GO:0016021, GO:0031410, GO:0005886"	"CC, CC, CC"	"integral component of membrane, cytoplasmic vesicle, plasma membrane "	antigen
skin	both_ctl	up	comp365065	2B14_HUMAN	"HLA class II histocompatibility antigen, DRB1-4 beta chain (MHC class II antigen DRB1*4) (DR-4) (DR4)"	2.97099644	5.219394624	13.81588752	0.000201624	0.007532507	"GO:0016064, GO:0006955, GO:0050728, GO:0006954, GO:0071346, GO:0046598, GO:0050852, GO:0051291, GO:2001179, GO:0007267, GO:0045087, GO:0002455, GO:0051290, GO:0050727, GO:0019886, GO:0046883, GO:0045655, GO:0048518, GO:0002381, GO:0001678, GO:0002504, GO:0002495, GO:0042613, GO:0016021, GO:0031410, GO:0012506, GO:0012507, GO:0009897, GO:0071556, GO:0009986, GO:0005886, GO:0005887, GO:0030669, GO:0042609, GO:0042605"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, MF, MF"	"immunoglobulin mediated immune response, immune response, negative regulation of inflammatory response, inflammatory response, cellular response to interferon-gamma, positive regulation of viral entry into host_cell, t_cell receptor signaling pathway, protein heterooligomerization, regulation of interleukin-10 secretion, cell-cell signaling, innate immune response, humoral immune response mediated by circulating immunoglobulin, protein heterotetramerization, regulation of inflammatory response, antigen processing and presentation of exogenous peptide antigen via MHC class II, regulation of hormone secretion, regulation of monocyte differentiation, positive regulation of biological process, immunoglobulin production involved in immunoglobulin mediated immune response, cellular glucose homeostasis, antigen processing and presentation of peptide or polysaccharide antigen via MHC class II, antigen processing and presentation of peptide antigen via MHC class II, MHC class II protein complex, integral component of membrane, cytoplasmic vesicle, vesicle membrane, ER to Golgi transport vesicle membrane, external side of plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface, plasma membrane, integral component of plasma membrane, clathrin-coated endocytic vesicle membrane, CD4 receptor binding, peptide antigen binding "	antigen
skin	both_ctl	up	comp361383	DMA_MOUSE	"Class II histocompatibility antigen, M alpha chain"	2.520423193	3.090721143	13.04696312	0.000303777	0.010089977	"GO:0016064, GO:0045059, GO:0006955, GO:0002922, GO:0051085, GO:0019886, GO:0048518, GO:0045582, GO:0002504, GO:0002495, GO:0042613, GO:0016021, GO:0031410, GO:0005771, GO:0009986, GO:0005886, GO:0023026, GO:0023023"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, CC, MF, MF"	"immunoglobulin mediated immune response, positive thymic t_cell selection, immune response, positive regulation of humoral immune response, chaperone cofactor-dependent protein refolding, antigen processing and presentation of exogenous peptide antigen via MHC class II, positive regulation of biological process, positive regulation of t_cell differentiation, antigen processing and presentation of peptide or polysaccharide antigen via MHC class II, antigen processing and presentation of peptide antigen via MHC class II, MHC class II protein complex, integral component of membrane, cytoplasmic vesicle, multivesicular body, cell surface, plasma membrane, MHC class II protein complex binding, MHC protein complex binding "	antigen
skin	both_ctl	up	comp359038	MCP_PONAB	Membrane cofactor protein (CD antigen CD46)	2.748172569	5.151788455	12.90997196	0.000326836	0.010641291	"GO:0016064, GO:0006955, GO:0045087, GO:0002455, GO:0048518, GO:0016021, GO:0031410, GO:0012506, GO:0009986"	"BP, BP, BP, BP, BP, CC, CC, CC, CC"	"immunoglobulin mediated immune response, immune response, innate immune response, humoral immune response mediated by circulating immunoglobulin, positive regulation of biological process, integral component of membrane, cytoplasmic vesicle, vesicle membrane, cell surface "	antigen
skin	both_ctl	up	comp360399	UPAR_MOUSE	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (CD antigen CD87)	2.143610603	7.804999084	12.75663088	0.000354749	0.01127156	"GO:0090200, GO:0048518, GO:0010951, GO:0032269, GO:0005576, GO:0016021, GO:0009986, GO:0031225, GO:0005886, GO:0005887"	"BP, BP, BP, BP, CC, CC, CC, CC, CC, CC"	"positive regulation of release of cytochrome c from mitochondria, positive regulation of biological process, negative regulation of endopeptidase activity, negative regulation of cellular protein metabolic process, extracellular region, integral component of membrane, cell surface, anchored component of membrane, plasma membrane, integral component of plasma membrane "	antigen
skin	both_ctl	up	comp364463	HA21_MOUSE	"H-2 class II histocompatibility antigen, E-D alpha chain (H2-IE-alpha)"	1.739606706	7.001842415	11.46627362	0.000708706	0.017617818	"GO:0006955, GO:0002504, GO:0042613, GO:0016021, GO:0005886"	"BP, BP, CC, CC, CC"	"immune response, antigen processing and presentation of peptide or polysaccharide antigen via MHC class II, MHC class II protein complex, integral component of membrane, plasma membrane "	antigen
skin	both_ctl	up	comp363328	ITPI2_HUMAN	Protein ITPRID2 (Cleavage signal-1 protein) (CS-1) (ITPR-interacting domain-containing protein 2) (Ki-ras-induced actin-interacting protein) (Sperm-specific antigen 2)	1.354210187	5.594432971	11.12045553	0.000853808	0.019804942	GO:0005886	CC	plasma membrane 	antigen
skin	both_ctl	up	comp361099	SCRB2_RAT	Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)	1.073316316	4.482273098	9.090876376	0.002568877	0.04061498	"GO:0048518, GO:0120036, GO:0016021, GO:0031410, GO:0012506, GO:0005886, GO:0042803"	"BP, BP, CC, CC, CC, CC, MF"	"positive regulation of biological process, plasma membrane bounded cell projection organization, integral component of membrane, cytoplasmic vesicle, vesicle membrane, plasma membrane, protein homodimerization activity "	antigen
skin	both_ctl	up	comp361070	ADA17_HUMAN	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	1.198186165	3.883908523	9.085888643	0.002575893	0.04066084	"GO:0042742, GO:0006955, GO:0045741, GO:0032496, GO:0071356, GO:0050900, GO:0010820, GO:0044770, GO:0048518, GO:0001666, GO:0034612, GO:0031293, GO:0050830, GO:0033028, GO:0002685, GO:2000406, GO:0071402, GO:0016021, GO:0009986, GO:0016324, GO:0005886, GO:0005887, GO:0045121, GO:0004222, GO:0030165, GO:0070851"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, CC, MF, MF, MF"	"defense response to bacterium, immune response, positive regulation of epidermal growth factor-activated receptor activity, response to lipopolysaccharide, cellular response to tumor_necrosis factor, leukocyte migration, positive regulation of t_cell chemotaxis, cell cycle phase transition, positive regulation of biological process, response to hypoxia, response to tumor_necrosis factor, membrane protein intracellular domain proteolysis, defense response to Gram-positive bacterium, myeloid cell apoptotic process, regulation of leukocyte migration, positive regulation of t_cell migration, cellular response to lipoprotein particle stimulus, integral component of membrane, cell surface, apical plasma membrane, plasma membrane, integral component of plasma membrane, membrane raft, metalloendopeptidase activity, PDZ domain binding, growth factor receptor binding "	antigen
skin	both_ctl	up	comp341839	IL18R_MOUSE	Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1) (CD218 antigen-like family member A) (IL1 receptor-related protein) (IL-1Rrp) (IL1R-rp) (Interleukin-18 receptor alpha) (IL-18R-alpha) (IL-18Ralpha) (CD antigen CD218a)	1.717619912	3.372774954	8.889613226	0.002867975	0.043633399	"GO:0006955, GO:0006954, GO:0032729, GO:0048518, GO:0016021"	"BP, BP, BP, BP, CC"	"immune response, inflammatory response, positive regulation of interferon-gamma production, positive regulation of biological process, integral component of membrane "	antigen
skin	both_ctl	up	comp352573	HA1F_CHICK	"Class I histocompatibility antigen, F10 alpha chain (B-F histocompatibility F10 antigen) (B-F-beta-IV) (B12)"	2.186005274	1.954604883	8.744535723	0.003105312	0.045970241	"GO:0002474, GO:0006955, GO:0042612, GO:0005576, GO:0016021, GO:0005615, GO:0009897, GO:0009986, GO:0005886"	"BP, BP, CC, CC, CC, CC, CC, CC, CC"	"antigen processing and presentation of peptide antigen via MHC class I, immune response, MHC class I protein complex, extracellular region, integral component of membrane, extracellular space, external side of plasma membrane, cell surface, plasma membrane "	antigen
skin	both_ctl	up	comp363660	JAM1_HUMAN	Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321)	1.112583741	6.602406847	8.624991105	0.003315821	0.047813402	"GO:0006954, GO:0050900, GO:0050892, GO:0070830, GO:0045777, GO:0005576, GO:0016021, GO:0005615, GO:0031410, GO:0005886, GO:0030165"	"BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, MF"	"inflammatory response, leukocyte migration, intestinal absorption, bicellular tight junction assembly, positive regulation of blood pressure, extracellular region, integral component of membrane, extracellular space, cytoplasmic vesicle, plasma membrane, PDZ domain binding "	antigen
skin	both_ctl	up	comp348020	NFKB1_RAT	Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit] (Fragment)	2.14829761	2.595213489	10.93278136	0.000944776	0.021193643	"GO:0071347, GO:0032496, GO:0071356, GO:0071222, GO:0048518, GO:0034612, GO:0042803, GO:0046982"	"BP, BP, BP, BP, BP, BP, MF, MF"	"cellular response to interleukin-1, response to lipopolysaccharide, cellular response to tumor_necrosis factor, cellular response to lipopolysaccharide, positive regulation of biological process, response to tumor_necrosis factor, protein homodimerization activity, protein heterodimerization activity "	b-cell
skin	both_ctl	up	comp340904	NFKB1_HUMAN	Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit]	2.202018405	1.652985017	10.0143301	0.001553269	0.029205198	"GO:0009725, GO:0071347, GO:0006955, GO:0050728, GO:0032496, GO:0006954, GO:0071356, GO:0050852, GO:0007267, GO:0045087, GO:0071354, GO:0050727, GO:0071222, GO:0048518, GO:0034612, GO:0042036, GO:0031293, GO:0035094, GO:0032269, GO:0005576, GO:0031410, GO:0035580, GO:0042803, GO:0046982"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, MF, MF"	"response to hormone, cellular response to interleukin-1, immune response, negative regulation of inflammatory response, response to lipopolysaccharide, inflammatory response, cellular response to tumor_necrosis factor, t_cell receptor signaling pathway, cell-cell signaling, innate immune response, cellular response to interleukin-6, regulation of inflammatory response, cellular response to lipopolysaccharide, positive regulation of biological process, response to tumor_necrosis factor, negative regulation of cytokine biosynthetic process, membrane protein intracellular domain proteolysis, response to nicotine, negative regulation of cellular protein metabolic process, extracellular region, cytoplasmic vesicle, specific granule lumen, protein homodimerization activity, protein heterodimerization activity "	b-cell
skin	both_ctl	up	comp345104	BCL10_RAT	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (R-RCD1) (RCD)	1.385539785	2.73979785	9.270719062	0.002328463	0.037990784	"GO:0016064, GO:0006955, GO:0032496, GO:2001238, GO:0050852, GO:0051291, GO:0045087, GO:0071222, GO:0048518, GO:0002903, GO:0006968, GO:0005886, GO:0045121, GO:0031625"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF"	"immunoglobulin mediated immune response, immune response, response to lipopolysaccharide, positive regulation of extrinsic apoptotic signaling pathway, t_cell receptor signaling pathway, protein heterooligomerization, innate immune response, cellular response to lipopolysaccharide, positive regulation of biological process, negative regulation of b_cell apoptotic process, cellular defense response, plasma membrane, membrane raft, ubiquitin protein ligase binding "	b-cell
skin	both_ctl	up	comp362755	HG2A_HUMAN	HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (p33) (CD antigen CD74)	2.666802834	7.12E+00	23.19451381	1.46E-06	0.000231487	"GO:0016064, GO:0045059, GO:0006955, GO:0046598, GO:0051291, GO:0050900, GO:0071621, GO:0045060, GO:0051085, GO:0090023, GO:0051290, GO:0019886, GO:0045655, GO:0048518, GO:0045582, GO:0002903, GO:0002504, GO:0002495, GO:0002577, GO:0002579, GO:0002685, GO:0042613, GO:0005576, GO:0016021, GO:0005615, GO:0031410, GO:0005771, GO:0012506, GO:0012507, GO:0009897, GO:0071556, GO:0009986, GO:0005886, GO:0030669, GO:0042287, GO:0023026, GO:0042609, GO:0044183, GO:0023023"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, CC, MF, MF, MF, MF, MF"	"immunoglobulin mediated immune response, positive thymic t_cell selection, immune response, positive regulation of viral entry into host_cell, protein heterooligomerization, leukocyte migration, granulocyte chemotaxis, negative thymic t_cell selection, chaperone cofactor-dependent protein refolding, positive regulation of neutrophil chemotaxis, protein heterotetramerization, antigen processing and presentation of exogenous peptide antigen via MHC class II, regulation of monocyte differentiation, positive regulation of biological process, positive regulation of t_cell differentiation, negative regulation of b_cell apoptotic process, antigen processing and presentation of peptide or polysaccharide antigen via MHC class II, antigen processing and presentation of peptide antigen via MHC class II, regulation of antigen processing and presentation, positive regulation of antigen processing and presentation, regulation of leukocyte migration, MHC class II protein complex, extracellular region, integral component of membrane, extracellular space, cytoplasmic vesicle, multivesicular body, vesicle membrane, ER to Golgi transport vesicle membrane, external side of plasma membrane, integral component of lumenal side of endoplasmic reticulum membrane, cell surface, plasma membrane, clathrin-coated endocytic vesicle membrane, MHC protein binding, MHC class II protein complex binding, CD4 receptor binding, protein binding involved in protein folding, MHC protein complex binding "	b_cell
skin	both_ctl	up	comp345104	BCL10_RAT	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (R-RCD1) (RCD)	1.385539785	2.73979785	9.270719062	0.002328463	0.037990784	"GO:0016064, GO:0006955, GO:0032496, GO:2001238, GO:0050852, GO:0051291, GO:0045087, GO:0071222, GO:0048518, GO:0002903, GO:0006968, GO:0005886, GO:0045121, GO:0031625"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF"	"immunoglobulin mediated immune response, immune response, response to lipopolysaccharide, positive regulation of extrinsic apoptotic signaling pathway, t_cell receptor signaling pathway, protein heterooligomerization, innate immune response, cellular response to lipopolysaccharide, positive regulation of biological process, negative regulation of b_cell apoptotic process, cellular defense response, plasma membrane, membrane raft, ubiquitin protein ligase binding "	b_cell
skin	both_ctl	up	comp364838	LYSC_ALLNI	"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)"	3.550585426	7.39E+00	4.06E+01	1.83E-10	3.29E-07	"GO:0042742, GO:0019835, GO:0061783"	"BP, BP, MF"	"defense response to bacterium, cytolysis, peptidoglycan muralytic activity "	bacteri
skin	both_ctl	up	comp352973	AVID_CHICK	Avidin	5.335819336	5.31E+00	3.90E+01	4.27E-10	5.62E-07	"GO:0042742, GO:0006955, GO:0019731, GO:0005576"	"BP, BP, BP, CC"	"defense response to bacterium, immune response, antibacterial humoral response, extracellular region "	bacteri
skin	both_ctl	up	comp365038	HMR1_PONAB	Major histocompatibility complex class I-related gene protein (MHC class I-related gene protein)	2.645630232	8.55E+00	3.85E+01	5.53E-10	6.07E-07	"GO:0002474, GO:0042742, GO:0006955, GO:0045087, GO:0032611, GO:0042612, GO:0016021, GO:0005886"	"BP, BP, BP, BP, BP, CC, CC, CC"	"antigen processing and presentation of peptide antigen via MHC class I, defense response to bacterium, immune response, innate immune response, interleukin-1 beta production, MHC class I protein complex, integral component of membrane, plasma membrane "	bacteri
skin	both_ctl	up	comp365254	ASC_MOUSE	Apoptosis-associated speck-like protein containing a CARD (mASC) (PYD and CARD domain-containing protein)	2.09164802	5.88E+00	18.08641318	2.11E-05	0.001490006	"GO:0042742, GO:0071347, GO:0042102, GO:0072606, GO:0006955, GO:0050728, GO:0090200, GO:0072604, GO:0032496, GO:1900015, GO:0006954, GO:0032652, GO:0071356, GO:2001238, GO:0050900, GO:2001179, GO:0045087, GO:1900016, GO:0032729, GO:0050727, GO:0071222, GO:0048518, GO:0034612, GO:0050718, GO:0032269, GO:0002504, GO:0002495, GO:0032611, GO:0002577, GO:0002579, GO:0002685, GO:2000406, GO:0006919, GO:0005576, GO:0042803, GO:0070851"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF, MF"	"defense response to bacterium, cellular response to interleukin-1, positive regulation of t_cell proliferation, interleukin-8 secretion, immune response, negative regulation of inflammatory response, positive regulation of release of cytochrome c from mitochondria, interleukin-6 secretion, response to lipopolysaccharide, regulation of cytokine production involved in inflammatory response, inflammatory response, regulation of interleukin-1 production, cellular response to tumor_necrosis factor, positive regulation of extrinsic apoptotic signaling pathway, leukocyte migration, regulation of interleukin-10 secretion, innate immune response, negative regulation of cytokine production involved in inflammatory response, positive regulation of interferon-gamma production, regulation of inflammatory response, cellular response to lipopolysaccharide, positive regulation of biological process, response to tumor_necrosis factor, positive regulation of interleukin-1 beta secretion, negative regulation of cellular protein metabolic process, antigen processing and presentation of peptide or polysaccharide antigen via MHC class II, antigen processing and presentation of peptide antigen via MHC class II, interleukin-1 beta production, regulation of antigen processing and presentation, positive regulation of antigen processing and presentation, regulation of leukocyte migration, positive regulation of t_cell migration, activation of cysteine-type endopeptidase activity involved in apoptotic process, extracellular region, protein homodimerization activity, growth factor receptor binding "	bacteri
skin	both_ctl	up	comp1508531	NOS2_CHICK	"Nitric oxide synthase, inducible (EC 1.14.13.39) (Inducible NO synthase) (Inducible NOS) (iNOS) (Macrophage NOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)"	6.418894055	3.04E+00	16.97425261	3.79E-05	0.002241987	"GO:0009725, GO:0042742, GO:0072606, GO:0045776, GO:0006527, GO:0018119, GO:0072604, GO:0032496, GO:0032310, GO:1900015, GO:0007263, GO:0006954, GO:0051349, GO:0031281, GO:0006525, GO:1900373, GO:0006809, GO:0050727, GO:0048518, GO:0006520, GO:0012506, GO:0005886, GO:0003958, GO:0010181, GO:0020037"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF, MF, MF"	"response to hormone, defense response to bacterium, interleukin-8 secretion, negative regulation of blood pressure, arginine catabolic process, peptidyl-cysteine S-nitrosylation, interleukin-6 secretion, response to lipopolysaccharide, prostaglandin secretion, regulation of cytokine production involved in inflammatory response, nitric oxide mediated signal transduction, inflammatory response, positive regulation of lyase activity, positive regulation of cyclase activity, arginine metabolic process, positive regulation of purine nucleotide biosynthetic process, nitric oxide biosynthetic process, regulation of inflammatory response, positive regulation of biological process, cellular amino acid metabolic process, vesicle membrane, plasma membrane, NADPH-hemoprotein reductase activity, FMN binding, heme binding "	bacteri
skin	both_ctl	up	comp349545	PGRP1_BOSIN	Peptidoglycan recognition protein 1	2.973805729	7.09E+00	16.88654391	3.97E-05	0.002320217	"GO:0042742, GO:0006955, GO:0009253, GO:0045087, GO:0050832, GO:0005576, GO:0061783"	"BP, BP, BP, BP, BP, CC, MF"	"defense response to bacterium, immune response, peptidoglycan catabolic process, innate immune response, defense response to fungus, extracellular region, peptidoglycan muralytic activity "	bacteri
skin	both_ctl	up	comp295401	NOS2_CHICK	"Nitric oxide synthase, inducible (EC 1.14.13.39) (Inducible NO synthase) (Inducible NOS) (iNOS) (Macrophage NOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)"	5.428584963	4.601488689	14.67548188	0.000127697	0.005371118	"GO:0009725, GO:0042742, GO:0072606, GO:0045776, GO:0006527, GO:0018119, GO:0072604, GO:0032496, GO:0032310, GO:1900015, GO:0007263, GO:0006954, GO:0051349, GO:0031281, GO:0006525, GO:1900373, GO:0006809, GO:0050727, GO:0048518, GO:0006520, GO:0012506, GO:0005886, GO:0003958, GO:0010181, GO:0020037"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF, MF, MF"	"response to hormone, defense response to bacterium, interleukin-8 secretion, negative regulation of blood pressure, arginine catabolic process, peptidyl-cysteine S-nitrosylation, interleukin-6 secretion, response to lipopolysaccharide, prostaglandin secretion, regulation of cytokine production involved in inflammatory response, nitric oxide mediated signal transduction, inflammatory response, positive regulation of lyase activity, positive regulation of cyclase activity, arginine metabolic process, positive regulation of purine nucleotide biosynthetic process, nitric oxide biosynthetic process, regulation of inflammatory response, positive regulation of biological process, cellular amino acid metabolic process, vesicle membrane, plasma membrane, NADPH-hemoprotein reductase activity, FMN binding, heme binding "	bacteri
skin	both_ctl	up	comp334643	ANGI_MOUSE	Angiogenin (EC 3.1.27.-) (Angiogenin-1) (Ribonuclease 5) (RNase 5)	2.580350212	2.674088523	13.15632724	0.00028655	0.009713701	"GO:0009725, GO:0042742, GO:0006955, GO:0045087, GO:0050832, GO:0019731, GO:0048518, GO:0001666, GO:0050830, GO:0032269, GO:0005576, GO:0031012, GO:0005615, GO:0031410, GO:0042803, GO:0004540"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, MF, MF"	"response to hormone, defense response to bacterium, immune response, innate immune response, defense response to fungus, antibacterial humoral response, positive regulation of biological process, response to hypoxia, defense response to Gram-positive bacterium, negative regulation of cellular protein metabolic process, extracellular region, extracellular matrix, extracellular space, cytoplasmic vesicle, protein homodimerization activity, ribonuclease activity "	bacteri
