Nvir_gene_id	Ortholog_gene_name	Uniprot_entry	Protein_names	logFC	logCPM	LR	PValue	FDR	GO_ID	GO_category	GO_term	Tissue	Comparison	Expression
comp353736	IGLL1	IGLL1_HUMAN	Immunoglobulin lambda-like polypeptide 1 (CD179 antigen-like family member B) (Ig lambda-5) (Immunoglobulin omega polypeptide) (Immunoglobulin-related protein 14.1) (CD antigen CD179b)	-5.219563973	6.296147852	16.8116674	4.13E-05	0.00239235	"GO:0006958, GO:0005615, GO:0005576, GO:0003823"	"BP, CC, CC, MF"	"complement activation, classical pathway, extracellular space, extracellular region, antigen binding"	skin	both_ctl	down
comp357538	MME	NEP_PONAB	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	-5.201882391	5.026823126	10.05899047	0.001516063	0.028754269	"GO:0097242, GO:1901360, GO:0044306, GO:0044297, GO:1901611, GO:0001786, GO:0004222"	"BP, BP, CC, CC, MF, MF, MF"	"amyloid-beta clearance, organic cyclic compound metabolic process, neuron projection terminus, cell body, phosphatidylglycerol binding, phosphatidylserine binding, metalloendopeptidase activity"	skin	both_ctl	down
comp361249	RETN	RETN_BOVIN	Resistin	-5.181867162	9.751794614	29.80055742	4.79E-08	1.82E-05	"GO:0005615, GO:0005576"	"CC, CC"	"extracellular space, extracellular region"	skin	both_ctl	down
comp357756	NA	NA	NA	-5.181723743	7.755058628	9.517314562	0.002035422	0.035011129	NA	NA	NA	skin	both_ctl	down
comp1425106	NA	NA	NA	-5.094788332	2.000743532	18.69181999	1.54E-05	0.00119543	NA	NA	NA	skin	both_ctl	down
comp361770	NA	NA	NA	-5.086237541	5.749321185	39.64598841	3.04E-10	4.63E-07	NA	NA	NA	skin	both_ctl	down
comp358719	NA	MYSS_CYPCA	"Myosin heavy chain, fast skeletal muscle"	-5.075336218	6.647573547	12.83936277	0.000339403	0.010906707	"GO:0030016, GO:0032982, GO:0005516, GO:0051015"	"CC, CC, MF, MF"	"myofibril, myosin filament, calmodulin binding, actin filament binding"	skin	both_ctl	down
comp363311	NA	NA	NA	-5.070063164	6.329468955	18.40577659	1.79E-05	0.001341449	NA	NA	NA	skin	both_ctl	down
comp363782	NA	NA	NA	-5.000867437	3.096051431	17.11212654	3.52E-05	0.002129605	NA	NA	NA	skin	both_ctl	down
comp344032	MYH2	MYH2_HORSE	"Myosin-2 (Myosin heavy chain 2) (Myosin heavy chain 2a) (MyHC-2a) (Myosin heavy chain, skeletal muscle, adult 2)"	-4.920992517	3.241328902	11.93811452	0.000549971	0.014727749	"GO:0030016, GO:0032982, GO:0005516, GO:0051015"	"CC, CC, MF, MF"	"myofibril, myosin filament, calmodulin binding, actin filament binding"	skin	both_ctl	down
comp287934	NA	NA	NA	-4.916607585	1.357071344	13.610058	0.000224977	0.008150064	NA	NA	NA	skin	both_ctl	down
comp348463	NA	NA	NA	-4.910807841	5.989672754	8.897699806	0.002855301	0.043528182	NA	NA	NA	skin	both_ctl	down
comp331232	NA	NA	NA	-4.829946146	0.297176401	13.39669054	0.000252069	0.008868753	NA	NA	NA	skin	both_ctl	down
comp349009	Col6a6	CO6A6_MOUSE	Collagen alpha-6(VI) chain	-4.805342752	1.517379905	24.60821648	7.03E-07	0.000129755	"GO:0007155, GO:0005576, GO:0062023, GO:0031012, GO:0005581, GO:0005201, GO:0005198"	"BP, CC, CC, CC, CC, MF, MF"	"cell adhesion, extracellular region, collagen-containing extracellular matrix, extracellular matrix, collagen trimer, extracellular matrix structural constituent, structural molecule activity"	skin	both_ctl	down
comp3013860	Hsd11b2	DHI2_MOUSE	Corticosteroid 11-beta-dehydrogenase isozyme 2 (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 2) (11-DH2) (11-beta-HSD2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase)	-4.787919403	1.71760486	13.56578846	0.000230346	0.008276947	"GO:0008211, GO:0032868, GO:0001977, GO:0003084, GO:0042493, GO:0007565, GO:0008217, GO:1901360, GO:0001990, GO:0032094, GO:0005496, GO:0033764"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, MF, MF"	"glucocorticoid metabolic process, response to insulin, renal system process involved in regulation of blood volume, positive regulation of systemic arterial blood pressure, response to drug, female pregnancy, regulation of blood pressure, organic cyclic compound metabolic process, regulation of systemic arterial blood pressure by hormone, response to food, steroid binding, steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	skin	both_ctl	down
comp359974	NA	NA	NA	-4.772678493	9.135608904	17.68015524	2.61E-05	0.001721614	NA	NA	NA	skin	both_ctl	down
comp300267	Hsd11b2	DHI2_MOUSE	Corticosteroid 11-beta-dehydrogenase isozyme 2 (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 2) (11-DH2) (11-beta-HSD2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase)	-4.763977126	2.1108602	18.11803993	2.08E-05	0.001476005	"GO:0008211, GO:0032868, GO:0001977, GO:0003084, GO:0042493, GO:0007565, GO:0008217, GO:1901360, GO:0001990, GO:0032094, GO:0005496, GO:0033764"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, MF, MF"	"glucocorticoid metabolic process, response to insulin, renal system process involved in regulation of blood volume, positive regulation of systemic arterial blood pressure, response to drug, female pregnancy, regulation of blood pressure, organic cyclic compound metabolic process, regulation of systemic arterial blood pressure by hormone, response to food, steroid binding, steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	skin	both_ctl	down
comp349330	NA	NA	NA	-4.75191515	4.052081125	16.7306052	4.31E-05	0.002474994	NA	NA	NA	skin	both_ctl	down
comp365218	NA	NA	NA	-4.718949903	7.174910499	27.51699329	1.56E-07	4.53E-05	NA	NA	NA	skin	both_ctl	down
comp22763	NA	NA	NA	-4.651958606	0.411047301	11.3053184	0.000772854	0.018608137	NA	NA	NA	skin	both_ctl	down
comp346058	MYH2	MYH2_HORSE	"Myosin-2 (Myosin heavy chain 2) (Myosin heavy chain 2a) (MyHC-2a) (Myosin heavy chain, skeletal muscle, adult 2)"	-4.648984615	3.777807912	10.13801032	0.001452429	0.027949703	"GO:0030016, GO:0032982, GO:0005516, GO:0051015"	"CC, CC, MF, MF"	"myofibril, myosin filament, calmodulin binding, actin filament binding"	skin	both_ctl	down
comp320802	CPZ	CBPZ_CHICK	Carboxypeptidase Z (CPZ) (cCPZ) (EC 3.4.17.-)	-4.601432702	0.84555667	21.6789481	3.22E-06	0.000414718	"GO:1905114, GO:0005615, GO:0005576"	"BP, CC, CC"	"cell surface receptor signaling pathway involved in cell-cell signaling, extracellular space, extracellular region"	skin	both_ctl	down
comp343307	NA	NA	NA	-4.577739137	2.564920443	27.58150218	1.51E-07	4.44E-05	NA	NA	NA	skin	both_ctl	down
comp324781	NA	NA	NA	-4.532869713	2.996180067	22.9733665	1.64E-06	0.00025528	NA	NA	NA	skin	both_ctl	down
comp359010	NA	NA	NA	-4.504303261	4.865139401	18.76732968	1.48E-05	0.001176817	NA	NA	NA	skin	both_ctl	down
comp361090	NA	NA	NA	-4.493880892	2.579733588	52.31645285	4.72E-13	4.67E-09	NA	NA	NA	skin	both_ctl	down
comp360961	NA	NA	NA	-4.466101506	5.12191167	10.04248337	0.001529708	0.02893136	NA	NA	NA	skin	both_ctl	down
comp353917	SLC2A9	GTR9_PONAB	"Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9)"	-4.386338634	1.456525625	16.92389589	3.89E-05	0.002281758	NA	NA	NA	skin	both_ctl	down
comp356638	NA	NA	NA	-4.350148204	6.633890245	33.04761701	8.99E-09	5.62E-06	NA	NA	NA	skin	both_ctl	down
comp961168	NA	NA	NA	-4.342225856	2.556537045	21.90446861	2.87E-06	0.000378641	NA	NA	NA	skin	both_ctl	down
comp356813	NA	NA	NA	-4.340661561	5.117355408	48.74502882	2.91E-12	1.44E-08	NA	NA	NA	skin	both_ctl	down
comp352297	NA	NA	NA	-4.324217355	1.520994898	16.62771282	4.55E-05	0.00258291	NA	NA	NA	skin	both_ctl	down
comp359201	NA	NA	NA	-4.311871259	5.337441912	9.365695729	0.002210841	0.036716676	NA	NA	NA	skin	both_ctl	down
comp349690	NA	NA	NA	-4.310280501	3.175655082	17.65210721	2.65E-05	0.001735619	NA	NA	NA	skin	both_ctl	down
comp360029	NA	NA	NA	-4.26998533	9.110757978	14.0204184	0.000180836	0.006975708	NA	NA	NA	skin	both_ctl	down
comp362313	rhbg-b	RHBGB_XENLA	Ammonium transporter Rh type B-B (Rhesus blood group family type B glycoprotein B) (Rh family type B glycoprotein B) (Rh type B glycoprotein B)	-4.257970613	4.285225419	14.22905427	0.000161852	0.006384433	GO:0031090	CC	organelle membrane	skin	both_ctl	down
comp349891	JCHAIN	IGJ_HUMAN	Immunoglobulin J chain (Joining chain of multimeric IgA and IgM)	-4.247353738	4.468418339	19.09847631	1.24E-05	0.001048486	"GO:0005615, GO:0005576, GO:0072562, GO:0070062, GO:0003823"	"CC, CC, CC, CC, MF"	"extracellular space, extracellular region, blood microparticle, extracellular exosome, antigen binding"	skin	both_ctl	down
comp329261	NA	NA	NA	-4.224057585	3.350288491	9.618569306	0.001926197	0.033747728	NA	NA	NA	skin	both_ctl	down
comp644879	NA	NA	NA	-4.210238411	1.403334209	10.39672544	0.00126239	0.025535937	NA	NA	NA	skin	both_ctl	down
comp329086	NA	NA	NA	-4.189401252	2.430392268	12.4124667	0.000426477	0.012670334	NA	NA	NA	skin	both_ctl	down
comp188130	NA	NA	NA	-4.187160545	1.59527994	13.86367932	0.000196561	0.007385226	NA	NA	NA	skin	both_ctl	down
comp1159104	NA	NA	NA	-4.179338913	1.336008573	9.241791987	0.002365533	0.038319703	NA	NA	NA	skin	both_ctl	down
comp349495	NA	NA	NA	-4.171019055	1.578484771	12.35857491	0.000438966	0.012890457	NA	NA	NA	skin	both_ctl	down
comp364285	FCGBP	FCGBP_HUMAN	IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)	-4.149373674	7.854051778	19.13189276	1.22E-05	0.001040577	"GO:0005615, GO:0005576, GO:0070062"	"CC, CC, CC"	"extracellular space, extracellular region, extracellular exosome"	skin	both_ctl	down
comp340554	NA	NA	NA	-4.113772066	1.014041247	8.714173387	0.003157456	0.046243401	NA	NA	NA	skin	both_ctl	down
comp341431	NA	NA	NA	-4.109216842	1.874394672	19.16508391	1.20E-05	0.001030137	NA	NA	NA	skin	both_ctl	down
comp351877	NA	NA	NA	-4.097486933	0.374128847	13.07573271	0.000299146	0.00996969	NA	NA	NA	skin	both_ctl	down
comp83687	NA	NA	NA	-4.095720908	0.954122861	34.62928212	3.99E-09	3.39E-06	NA	NA	NA	skin	both_ctl	down
comp1354880	NA	NA	NA	-4.09419885	0.213219072	13.14556563	0.000288201	0.00973625	NA	NA	NA	skin	both_ctl	down
comp318446	NA	NA	NA	-4.07292162	1.838384532	11.82111122	0.000585629	0.015329517	NA	NA	NA	skin	both_ctl	down
comp339620	Cyp2a5	CP2A5_MOUSE	Cytochrome P450 2A5 (EC 1.14.14.1) (CYPIIA5) (Coumarin 7-hydroxylase) (Cytochrome P450-15-COH) (Cytochrome P450-IIA3.2)	-4.066732008	0.988590988	24.44329234	7.65E-07	0.000139509	"GO:0006805, GO:0019373, GO:0055114, GO:0042738, GO:0009804, GO:0042493, GO:1901360, GO:0006631, GO:0031090, GO:0020037, GO:0005506, GO:0070330, GO:0008392, GO:0008395, GO:0016705"	"BP, BP, BP, BP, BP, BP, BP, BP, CC, MF, MF, MF, MF, MF, MF"	"xenobiotic metabolic process, epoxygenase P450 pathway, oxidation-reduction process, exogenous drug catabolic process, coumarin metabolic process, response to drug, organic cyclic compound metabolic process, fatty acid metabolic process, organelle membrane, heme binding, iron ion binding, aromatase activity, arachidonic acid epoxygenase activity, steroid hydroxylase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	skin	both_ctl	down
comp361480	NA	NA	NA	-4.03814917	1.570659603	37.22108701	1.05E-09	1.10E-06	NA	NA	NA	skin	both_ctl	down
comp325028	NA	NA	NA	-4.028058084	0.981392138	15.49205049	8.29E-05	0.003926674	NA	NA	NA	skin	both_ctl	down
comp168902	NA	NA	NA	-4.006699059	2.816291345	17.64466598	2.66E-05	0.001736672	NA	NA	NA	skin	both_ctl	down
comp115487	NA	NA	NA	-4.00536696	1.369814643	12.64422531	0.000376728	0.011615913	NA	NA	NA	skin	both_ctl	down
comp351210	TECTA	TECTA_HUMAN	Alpha-tectorin	-3.979488427	8.87559952	19.21414472	1.17E-05	0.001012805	"GO:0007155, GO:0007605, GO:0005615, GO:0005576, GO:0062023, GO:0070062, GO:0031012, GO:0005201, GO:0005198"	"BP, BP, CC, CC, CC, CC, CC, MF, MF"	"cell adhesion, sensory perception of sound, extracellular space, extracellular region, collagen-containing extracellular matrix, extracellular exosome, extracellular matrix, extracellular matrix structural constituent, structural molecule activity"	skin	both_ctl	down
comp355016	NA	NA	NA	-3.973228657	3.735355984	22.4877907	2.11E-06	0.000300687	NA	NA	NA	skin	both_ctl	down
comp321012	NA	NA	NA	-3.945664908	3.820552705	17.07820516	3.59E-05	0.002154805	NA	NA	NA	skin	both_ctl	down
comp327029	NA	NA	NA	-3.891069596	1.277297395	10.00885553	0.001557893	0.029205198	NA	NA	NA	skin	both_ctl	down
comp346149	NA	NA	NA	-3.875285554	4.354389888	23.60826539	1.18E-06	0.000194467	NA	NA	NA	skin	both_ctl	down
comp275940	NA	NA	NA	-3.862261965	1.114291281	20.20992729	6.94E-06	0.000706903	NA	NA	NA	skin	both_ctl	down
comp2632642	NA	NA	NA	-3.825036111	0.525873201	8.956260431	0.002765203	0.042561304	NA	NA	NA	skin	both_ctl	down
comp90910	NA	NA	NA	-3.809458395	1.469263752	12.93142409	0.000323112	0.010589818	NA	NA	NA	skin	both_ctl	down
comp1595296	NA	NA	NA	-3.807769378	1.364170979	10.91234065	0.000955257	0.021280414	NA	NA	NA	skin	both_ctl	down
comp1398918	NA	NA	NA	-3.774837887	2.857651272	12.64409135	0.000376755	0.011615913	NA	NA	NA	skin	both_ctl	down
comp360435	NA	PA2BN_CROVV	Basic phospholipase A2 Cvv-N6 (svPLA2) (EC 3.1.1.4) (Cvv myotoxin) (Phosphatidylcholine 2-acylhydrolase)	-3.752032152	6.737966531	26.79071917	2.27E-07	5.65E-05	GO:0005576	CC	extracellular region	skin	both_ctl	down
comp2391288	NA	NA	NA	-3.74048003	1.639266467	9.85991219	0.001689192	0.030830902	NA	NA	NA	skin	both_ctl	down
comp351452	KRT15	K1C15_SHEEP	"Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)"	-3.731580103	8.281712992	10.88720695	0.000968307	0.021477731	"GO:0005882, GO:0005198"	"CC, MF"	"intermediate filament, structural molecule activity"	skin	both_ctl	down
comp273854	SULT2B1	ST2B1_HUMAN	Sulfotransferase family cytosolic 2B member 1 (ST2B1) (Sulfotransferase 2B1) (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2)	-3.718937993	1.887551923	8.906286024	0.002841907	0.043370348	"GO:1901360, GO:0005615, GO:0005576, GO:0070062, GO:0005496"	"BP, CC, CC, CC, MF"	"organic cyclic compound metabolic process, extracellular space, extracellular region, extracellular exosome, steroid binding"	skin	both_ctl	down
comp228559	NA	NA	NA	-3.703463789	2.835965293	11.60624087	0.000657309	0.01658543	NA	NA	NA	skin	both_ctl	down
comp353396	AOC2	AOC2_HUMAN	Retina-specific copper amine oxidase (RAO) (EC 1.4.3.21) (Amine oxidase [copper-containing]) (Semicarbazide-sensitive amine oxidase) (SSAO)	-3.68762882	2.598697848	21.39690122	3.73E-06	0.000464088	"GO:0006805, GO:0009308, GO:1901360, GO:0048038, GO:0016641"	"BP, BP, BP, MF, MF"	"xenobiotic metabolic process, amine metabolic process, organic cyclic compound metabolic process, quinone binding, oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor"	skin	both_ctl	down
comp288630	ABCC12	MRP9_HUMAN	Multidrug resistance-associated protein 9 (ATP-binding cassette sub-family C member 12)	-3.667356158	0.672761064	10.35896996	0.001288471	0.025821392	NA	NA	NA	skin	both_ctl	down
comp343708	NA	NA	NA	-3.662669546	1.113635423	18.13743498	2.06E-05	0.001466322	NA	NA	NA	skin	both_ctl	down
comp358859	FBLN1	FBLN1_CHLAE	Fibulin-1 (FIBL-1) (Fragment)	-3.660433185	1.988816972	32.8520076	9.94E-09	5.78E-06	"GO:0030198, GO:0005576"	"BP, CC"	"extracellular matrix organization, extracellular region"	skin	both_ctl	down
comp292030	Aldh1b1	AL1B1_MOUSE	"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase family 1 member B1)"	-3.647874128	1.136529531	11.34056704	0.000758322	0.018447225	"GO:0006067, GO:0006068, GO:0004029"	"BP, BP, MF"	"ethanol metabolic process, ethanol catabolic process, aldehyde dehydrogenase (NAD) activity"	skin	both_ctl	down
comp361921	NA	TAL2_TACTR	Tachylectin-2 (Lectin L10c)	-3.605909508	9.442397801	18.49208285	1.71E-05	0.001296845	GO:0005576	CC	extracellular region	skin	both_ctl	down
comp347770	NA	NA	NA	-3.595884509	4.930825919	20.60350916	5.65E-06	0.000627225	NA	NA	NA	skin	both_ctl	down
comp550121	NA	"TF28_SCHPO, TF27_SCHPO"	"Transposon Tf2-8 polyprotein (Retrotransposable element Tf2 155 kDa protein), Transposon Tf2-7 polyprotein (Retrotransposable element Tf2 155 kDa protein)"	-3.591519838	1.551452932	19.56830574	9.71E-06	0.000915971	GO:1901360	BP	organic cyclic compound metabolic process	skin	both_ctl	down
comp362190	NA	NA	NA	-3.587468947	1.294099517	11.31570351	0.000768543	0.018608137	NA	NA	NA	skin	both_ctl	down
comp356594	ATP6V1B1	VATB1_HUMAN	"V-type proton ATPase subunit B, kidney isoform (V-ATPase subunit B 1) (Endomembrane proton pump 58 kDa subunit) (Vacuolar proton pump subunit B 1)"	-3.543500946	5.455167344	25.48690863	4.45E-07	9.17E-05	"GO:0015991, GO:0032868, GO:0045851, GO:0033572, GO:0007588, GO:0007605, GO:1901360, GO:0005615, GO:0016471, GO:0033180, GO:0005576, GO:0070062, GO:0016324, GO:0031090"	"BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, CC, CC"	"ATP hydrolysis coupled proton transport, response to insulin, pH reduction, transferrin transport, excretion, sensory perception of sound, organic cyclic compound metabolic process, extracellular space, vacuolar proton-transporting V-type ATPase complex, proton-transporting V-type ATPase, V1 domain, extracellular region, extracellular exosome, apical plasma membrane, organelle membrane"	skin	both_ctl	down
comp312489	NA	NA	NA	-3.492128296	1.901017832	10.85006284	0.000987924	0.021801544	NA	NA	NA	skin	both_ctl	down
comp145167	NA	NA	NA	-3.461838204	0.775261053	14.02430019	0.000180463	0.006975708	NA	NA	NA	skin	both_ctl	down
comp1076627	NA	NA	NA	-3.461432285	1.428550213	12.73454583	0.000358963	0.011350697	NA	NA	NA	skin	both_ctl	down
comp340500	NA	NA	NA	-3.457246399	0.908388005	17.31223974	3.17E-05	0.002011882	NA	NA	NA	skin	both_ctl	down
comp360300	NA	NA	NA	-3.453807359	2.139396216	23.68922059	1.13E-06	0.000188022	NA	NA	NA	skin	both_ctl	down
comp345540	NNMT	NNMT_HUMAN	Nicotinamide N-methyltransferase (EC 2.1.1.1)	-3.451008806	1.236798644	13.93969065	0.00018877	0.007153873	"GO:0032259, GO:0042493, GO:0031100, GO:1901360, GO:0009058, GO:0008112"	"BP, BP, BP, BP, BP, MF"	"methylation, response to drug, animal organ regeneration, organic cyclic compound metabolic process, biosynthetic process, nicotinamide N-methyltransferase activity"	skin	both_ctl	down
comp259457	NA	NA	NA	-3.44262703	1.903047366	8.579673515	0.003399363	0.048682329	NA	NA	NA	skin	both_ctl	down
comp358296	tdrp	TDRP_XENLA	Testis development-related protein	-3.442046541	1.507118102	29.34026057	6.07E-08	2.22E-05	NA	NA	NA	skin	both_ctl	down
comp364142	Krt42	K1C42_RAT	"Keratin, type I cytoskeletal 42 (Cytokeratin-42) (CK-42) (Keratin-42) (K42) (Type I keratin Ka22)"	-3.407221351	9.539725419	20.34594477	6.46E-06	0.000668733	"GO:0005882, GO:0005198"	"CC, MF"	"intermediate filament, structural molecule activity"	skin	both_ctl	down
comp355624	NA	NA	NA	-3.406165362	5.11557064	19.35989948	1.08E-05	0.000968088	NA	NA	NA	skin	both_ctl	down
comp364260	NA	TAL2_TACTR	Tachylectin-2 (Lectin L10c)	-3.403757236	10.85522425	17.90298001	2.32E-05	0.001600712	GO:0005576	CC	extracellular region	skin	both_ctl	down
comp363505	NA	NA	NA	-3.403556941	6.105312629	21.55965999	3.43E-06	0.000431753	NA	NA	NA	skin	both_ctl	down
comp882882	NA	NA	NA	-3.403382657	0.644565689	9.974467593	0.001587259	0.029399247	NA	NA	NA	skin	both_ctl	down
comp536354	NA	NA	NA	-3.403334097	0.466534898	13.9294264	0.000189804	0.007172255	NA	NA	NA	skin	both_ctl	down
comp324673	NA	NA	NA	-3.397487351	1.363522905	18.23762167	1.95E-05	0.001401297	NA	NA	NA	skin	both_ctl	down
comp919983	NA	NA	NA	-3.392739275	1.965732845	10.35254003	0.001292967	0.025837105	NA	NA	NA	skin	both_ctl	down
comp3305527	NA	NA	NA	-3.37829608	1.129690213	18.88422825	1.39E-05	0.001125003	NA	NA	NA	skin	both_ctl	down
comp354535	NA	NA	NA	-3.373128521	6.931704251	13.72478045	0.000211644	0.007808727	NA	NA	NA	skin	both_ctl	down
comp277478	NA	NA	NA	-3.372290574	1.099052329	19.53865002	9.86E-06	0.000923379	NA	NA	NA	skin	both_ctl	down
comp364086	NA	NA	NA	-3.361190403	9.751092705	14.88464289	0.00011429	0.005030526	NA	NA	NA	skin	both_ctl	down
comp352498	RBP4	RET4_CHICK	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP)	-3.359007894	6.256062683	52.32124977	4.71E-13	4.67E-09	"GO:0033189, GO:0042572, GO:0009058, GO:0005615, GO:0005576, GO:0070062, GO:0016918, GO:0019841"	"BP, BP, BP, CC, CC, CC, MF, MF"	"response to vitamin A, retinol metabolic process, biosynthetic process, extracellular space, extracellular region, extracellular exosome, retinal binding, retinol binding"	skin	both_ctl	down
comp357450	CLN5	CLN5_BOVIN	"Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]"	-3.338747352	2.791949607	20.46917381	6.06E-06	0.000658036	"GO:0045851, GO:0007035, GO:0030641, GO:0031090"	"BP, BP, BP, CC"	"pH reduction, vacuolar acidification, regulation of cellular pH, organelle membrane"	skin	both_ctl	down
comp358129	ADH4	ADH4_STRCA	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase class II)	-3.332964446	7.24582544	24.72408049	6.62E-07	0.000124512	"GO:0055114, GO:0006067, GO:0004022"	"BP, BP, MF"	"oxidation-reduction process, ethanol metabolic process, alcohol dehydrogenase (NAD) activity"	skin	both_ctl	down
comp348103	NA	NA	NA	-3.319984004	0.945357723	13.59247548	0.000227094	0.008181045	NA	NA	NA	skin	both_ctl	down
comp1644672	NA	NA	NA	-3.311117365	0.892188772	9.999058607	0.001566203	0.029256015	NA	NA	NA	skin	both_ctl	down
comp359453	LRRC51	LRC51_BOVIN	Leucine-rich repeat-containing protein 51	-3.307552358	3.092144886	10.38397906	0.001271135	0.025630546	NA	NA	NA	skin	both_ctl	down
comp357232	NA	NA	NA	-3.28514584	8.287191305	24.7581024	6.50E-07	0.000124512	NA	NA	NA	skin	both_ctl	down
comp67737	NA	NA	NA	-3.283232458	0.910815995	15.22963299	9.52E-05	0.004401717	NA	NA	NA	skin	both_ctl	down
comp347873	NA	NA	NA	-3.275643922	2.19949707	9.718803385	0.001823922	0.032474033	NA	NA	NA	skin	both_ctl	down
comp343002	Rbp1	RET1_MOUSE	Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I) (mCRBPI)	-3.216338103	1.776486331	10.09762794	0.001484603	0.028293354	"GO:0033189, GO:0042572, GO:0009058, GO:0044297, GO:0016918, GO:0019841"	"BP, BP, BP, CC, MF, MF"	"response to vitamin A, retinol metabolic process, biosynthetic process, cell body, retinal binding, retinol binding"	skin	both_ctl	down
comp345837	PON2	PON2_MELGA	Serum paraoxonase/arylesterase 2 (PON 2) (EC 3.1.1.2) (EC 3.1.8.1) (Aromatic esterase 2) (A-esterase 2) (Serum aryldialkylphosphatase 2)	-3.210762059	2.538602076	14.48623277	0.000141188	0.00574134	GO:0005576	CC	extracellular region	skin	both_ctl	down
comp359935	CFP	PROP_CAVPO	Properdin (Complement factor P)	-3.204071412	1.734595612	12.6583506	0.000373892	0.011563734	"GO:0006957, GO:0005576"	"BP, CC"	"complement activation, alternative pathway, extracellular region"	skin	both_ctl	down
comp1943486	HEPACAM2	HECA2_HUMAN	HEPACAM family member 2 (Mitotic kinetics regulator)	-3.18472546	0.66266555	9.329260162	0.002255234	0.037285202	GO:0031090	CC	organelle membrane	skin	both_ctl	down
comp354221	cyp1a1	CP1A1_LIMLI	Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1)	-3.167856183	2.639794814	10.49787151	0.001195121	0.024552166	"GO:0031090, GO:0020037, GO:0005506, GO:0070330, GO:0016705"	"CC, MF, MF, MF, MF"	"organelle membrane, heme binding, iron ion binding, aromatase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	skin	both_ctl	down
comp355278	CHKA	CHKA_HUMAN	Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82)	-3.161445646	1.986530975	11.31289772	0.000769706	0.018608137	"GO:0009308, GO:0042493, GO:0009636, GO:0009058, GO:0070405"	"BP, BP, BP, BP, MF"	"amine metabolic process, response to drug, response to toxic substance, biosynthetic process, ammonium ion binding"	skin	both_ctl	down
comp361306	pol	POL2_DROME	Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	-3.150931654	5.272701306	9.028935104	0.002657392	0.041464674	GO:1901360	BP	organic cyclic compound metabolic process	skin	both_ctl	down
comp344183	NA	NA	NA	-3.14744391	5.019809253	15.28148935	9.26E-05	0.004316422	NA	NA	NA	skin	both_ctl	down
comp345596	NA	NA	NA	-3.146725668	1.419360767	25.71180495	3.96E-07	8.42E-05	NA	NA	NA	skin	both_ctl	down
comp351456	PPP1R1B	PPR1B_HUMAN	Protein phosphatase 1 regulatory subunit 1B (DARPP-32) (Dopamine- and cAMP-regulated neuronal phosphoprotein)	-3.143148945	3.558180447	33.02612143	9.09E-09	5.62E-06	"GO:0042493, GO:0009636, GO:1901360, GO:0009058, GO:0044297"	"BP, BP, BP, BP, CC"	"response to drug, response to toxic substance, organic cyclic compound metabolic process, biosynthetic process, cell body"	skin	both_ctl	down
comp1184882	OTOP2	OTOP2_HUMAN	Proton channel OTOP2 (Otopetrin-2)	-3.119011133	0.927934006	8.620433073	0.003324128	0.047882465	NA	NA	NA	skin	both_ctl	down
comp346806	NA	NA	NA	-3.115929645	0.410580234	11.05688207	0.000883586	0.020244754	NA	NA	NA	skin	both_ctl	down
comp360465	NA	NA	NA	-3.1129231	4.133553464	25.51060572	4.40E-07	9.15E-05	NA	NA	NA	skin	both_ctl	down
